#x;y;rot;heading;speed;rrot;x';y';heading'
34.419;285.251;8.670;20.808;1;20;34.775;286.185;20.953
34.775;286.185;8.700;20.953;1;20;35.132;287.119;21.098
35.132;287.119;8.730;21.098;1;20;35.492;288.052;21.243
35.492;288.052;8.760;21.243;1;20;35.855;288.984;21.389
35.855;288.984;8.790;21.389;1;20;36.219;289.915;21.536
36.219;289.915;8.820;21.536;1;20;36.586;290.846;21.683
36.586;290.846;8.850;21.683;1;20;36.956;291.775;21.830
36.956;291.775;8.880;21.830;1;20;37.328;292.703;21.978
37.328;292.703;8.910;21.978;1;20;37.702;293.631;22.127
37.702;293.631;8.940;22.127;1;20;38.079;294.557;22.276
38.079;294.557;8.970;22.276;1;20;38.458;295.482;22.425
38.458;295.482;9.000;22.425;1;20;38.839;296.407;22.575
38.839;296.407;9.030;22.575;1;20;39.223;297.330;22.726
39.223;297.330;9.060;22.726;1;20;39.609;298.252;22.877
39.609;298.252;9.090;22.877;1;20;39.998;299.174;23.028
39.998;299.174;9.120;23.028;1;20;40.389;300.094;23.180
40.389;300.094;9.150;23.180;1;20;40.783;301.013;23.333
40.783;301.013;9.180;23.333;1;20;41.179;301.932;23.486
41.179;301.932;9.210;23.486;1;20;41.577;302.849;23.639
41.577;302.849;9.240;23.639;1;20;41.978;303.765;23.793
41.978;303.765;9.270;23.793;1;20;42.382;304.680;23.948
42.382;304.680;9.300;23.948;1;20;42.788;305.594;24.103
42.788;305.594;9.330;24.103;1;20;43.196;306.507;24.258
43.196;306.507;9.360;24.258;1;20;43.607;307.418;24.414
43.607;307.418;9.390;24.414;1;20;44.020;308.329;24.571
44.020;308.329;9.420;24.571;1;20;44.436;309.238;24.728
44.436;309.238;9.450;24.728;1;20;44.854;310.147;24.885
44.854;310.147;9.480;24.885;1;20;45.275;311.054;25.043
45.275;311.054;9.510;25.043;1;20;45.698;311.960;25.202
45.698;311.960;9.540;25.202;1;20;46.124;312.865;25.361
46.124;312.865;9.570;25.361;1;20;46.553;313.768;25.520
46.553;313.768;9.600;25.520;1;20;46.983;314.671;25.680
46.983;314.671;9.630;25.680;1;20;47.417;315.572;25.841
47.417;315.572;9.660;25.841;1;20;47.853;316.472;26.002
47.853;316.472;9.690;26.002;1;20;48.291;317.371;26.163
48.291;317.371;9.720;26.163;1;20;48.732;318.268;26.325
48.732;318.268;9.750;26.325;1;20;49.175;319.164;26.488
49.175;319.164;9.780;26.488;1;20;49.621;320.059;26.651
